,year,make,model,VClass,cylinders,displ,2D PassVol,2D LuggVol,4D PassVol,4D LuggVol,HatchPassVol,HatchLuggVol,drive,CombCityHwy MPG,CombCHW_Cost100miles,AggCombMPG,AggCombCHW_Cost100miles,HW mpg@55,HW@55_Cost100miles,HW mpg@65,HW@65_Cost100miles,HW mpg@75,HW@75_Cost100miles,HW mpg@85,HW@85_Cost100miles,HW mpg@95,HW mpg@105
39148,2023,Chevrolet,Suburban 2WD,Standard Sport Utility Vehicle 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39149,2023,GMC,Yukon 2WD,Standard Sport Utility Vehicle 2WD,8.0,6.2,0,0,0,0,0,0,Rear-Wheel Drive,16,25.0,12,33.33,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39150,2023,GMC,Yukon XL 2WD,Standard Sport Utility Vehicle 2WD,8.0,6.2,0,0,0,0,0,0,Rear-Wheel Drive,16,25.0,12,33.33,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39151,2023,GMC,Yukon 2WD,Standard Sport Utility Vehicle 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39152,2023,GMC,Yukon XL 2WD,Standard Sport Utility Vehicle 2WD,8.0,5.3,0,0,0,0,0,0,Rear-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39153,2023,Audi,Q7,Standard Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,All-Wheel Drive,20,20.0,16,25.0,22,18.18,19,21.05,16,25.0,14,28.57,12,10
39155,2023,Audi,Q8,Standard Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,All-Wheel Drive,20,20.0,16,25.0,23,17.39,20,20.0,17,23.53,14,28.57,12,10
39156,2023,BMW,X7 xDrive40i,Standard Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,All-Wheel Drive,22,18.18,17,23.53,25,16.0,22,18.18,19,21.05,16,25.0,13,11
39157,2023,BMW,X7 M60i xDrive,Standard Sport Utility Vehicle 4WD,8.0,4.4,0,0,0,0,0,0,All-Wheel Drive,18,22.22,14,28.57,21,19.05,18,22.22,16,25.0,14,28.57,12,10
39158,2023,Cadillac,Escalade 4WD,Standard Sport Utility Vehicle 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39159,2023,Chevrolet,Tahoe 4WD,Standard Sport Utility Vehicle 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39160,2023,Chevrolet,Suburban 4WD,Standard Sport Utility Vehicle 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39161,2023,Chevrolet,Suburban 4WD,Standard Sport Utility Vehicle 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39162,2023,GMC,Yukon 4WD,Standard Sport Utility Vehicle 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,17,23.53,13,30.77,20,20.0,18,22.22,16,25.0,14,28.57,12,10
39163,2023,GMC,Yukon XL 4WD,Standard Sport Utility Vehicle 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39164,2023,GMC,Yukon 4WD,Standard Sport Utility Vehicle 4WD,8.0,6.2,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,18,22.22,16,25.0,14,28.57,12,33.33,10,8
39166,2023,GMC,Yukon XL 4WD,Standard Sport Utility Vehicle 4WD,8.0,5.3,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,19,21.05,17,23.53,15,26.67,13,30.77,11,9
39167,2023,Land Rover,Defender 130 P300 MHEV,Standard Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,19,21.05,15,26.67,21,19.05,18,22.22,16,25.0,14,28.57,12,10
